credit_score,annual_income,loan_amount,debt_to_income,employment_length,home_ownership,loan_purpose,interest_rate,open_accounts,delinquencies_2yr,loan_default
704,53537.55,4184.99,47.16,7,RENT,debt_consolidation,23.44,7,0,0
596,76846.23,24930.44,31.63,1,MORTGAGE,credit_card,12.9,11,0,1
740,23479.07,12827.9,23.13,1,RENT,major_purchase,6.94,8,0,0
755,42503.89,8778.52,3.03,2,RENT,debt_consolidation,19.25,9,0,0
523,74204.25,11208.5,13.78,2,RENT,debt_consolidation,11.66,11,0,0
575,50655.35,27604.65,46.16,3,RENT,debt_consolidation,15.88,9,0,0
690,102095.8,22289.44,29.14,0,MORTGAGE,other,24.93,14,0,0
654,22293.23,12215.41,17.13,7,RENT,other,18.1,13,0,0
678,21057.23,6018.69,12.44,3,MORTGAGE,other,5.5,13,0,0
611,72030.38,6323.44,5.68,0,MORTGAGE,debt_consolidation,6.11,7,1,0
750,75576.72,22632.02,37.58,6,RENT,credit_card,16.59,6,1,1
742,44505.81,5462.05,20.62,3,MORTGAGE,other,6.02,7,0,0
685,59885.95,12299.23,46.83,4,RENT,major_purchase,5.13,11,0,0
770,71154.12,87268.99,22.72,6,RENT,debt_consolidation,11.42,7,0,0
717,32632.64,18429.22,40.92,11,RENT,debt_consolidation,6.13,10,0,1
611,34426.29,22461.87,6.51,0,MORTGAGE,credit_card,22.14,10,0,0
709,53898.78,6356.77,7.55,14,OWN,home_improvement,12.46,9,0,0
603,77037.26,5658.36,13.66,0,RENT,debt_consolidation,14.6,11,0,1
750,27365.04,23320.2,9.56,5,OWN,debt_consolidation,20.18,17,2,0
676,44401.4,10963.79,48.84,0,MORTGAGE,major_purchase,11.62,13,0,0
665,43385.55,30379.86,40.41,3,MORTGAGE,debt_consolidation,11.45,12,0,1
625,60414.21,14767.64,17.42,8,MORTGAGE,debt_consolidation,10.37,6,0,0
777,48808.06,100000.0,25.99,12,MORTGAGE,credit_card,24.53,7,0,0
667,37311.55,9598.63,26.66,1,RENT,major_purchase,9.19,10,1,0
645,91517.26,17542.68,30.36,10,RENT,credit_card,18.68,6,0,0
651,37435.37,7662.53,5.18,7,OWN,other,17.9,10,1,0
722,42359.66,29509.16,17.45,0,OWN,major_purchase,14.23,10,2,0
709,22120.3,19503.68,4.3,6,MORTGAGE,debt_consolidation,20.24,14,0,0
713,34309.83,7311.23,45.95,8,MORTGAGE,debt_consolidation,8.61,8,0,0
714,63451.94,11474.71,20.17,1,RENT,debt_consolidation,6.58,5,0,0
850,57543.76,37432.12,36.35,4,MORTGAGE,credit_card,17.78,11,1,0
647,66155.18,34413.23,46.04,17,OWN,home_improvement,10.22,8,0,0
639,64569.09,5323.7,15.47,1,MORTGAGE,home_improvement,22.49,8,1,1
614,139226.45,10340.48,4.39,5,OWN,credit_card,16.42,13,0,0
729,33727.56,51275.98,16.81,1,MORTGAGE,debt_consolidation,8.69,7,0,0
770,21813.58,12746.04,33.55,4,MORTGAGE,debt_consolidation,10.7,10,0,0
670,28990.5,16291.45,24.99,3,RENT,credit_card,16.94,5,0,0
612,34481.36,29403.01,3.75,4,OWN,debt_consolidation,23.64,13,0,0
614,30116.74,5639.14,3.51,12,MORTGAGE,debt_consolidation,12.64,12,0,0
732,51371.07,7422.06,34.98,5,MORTGAGE,major_purchase,6.19,9,0,0
739,91704.57,11423.3,36.83,8,MORTGAGE,credit_card,18.79,4,0,0
723,105855.43,33297.46,5.48,6,RENT,credit_card,16.13,9,0,0
626,63079.7,29255.88,39.74,4,MORTGAGE,debt_consolidation,20.08,13,0,0
698,143005.18,23714.37,17.28,2,MORTGAGE,other,15.03,16,0,0
689,41019.94,12998.48,3.41,6,RENT,major_purchase,12.97,19,0,0
697,21671.22,31593.25,16.69,6,MORTGAGE,debt_consolidation,13.6,8,0,0
749,82999.43,12876.36,36.52,4,MORTGAGE,debt_consolidation,21.24,16,0,0
697,20000.0,21473.56,32.79,10,RENT,home_improvement,12.8,10,0,0
734,33607.3,27130.86,24.07,17,RENT,credit_card,14.28,7,0,0
685,63580.12,46993.95,13.98,18,MORTGAGE,major_purchase,10.01,8,1,0
703,46574.54,13774.48,20.9,13,RENT,credit_card,5.28,10,1,0
730,44556.96,11116.36,19.08,1,RENT,major_purchase,9.23,9,0,0
563,27162.84,35473.91,19.5,10,MORTGAGE,home_improvement,21.14,5,2,0
654,48756.74,37432.58,24.48,4,RENT,debt_consolidation,23.31,10,2,0
642,80969.78,9795.1,22.76,1,RENT,home_improvement,19.83,11,0,0
628,49512.67,6610.91,5.12,0,MORTGAGE,debt_consolidation,13.74,7,0,1
657,32366.75,33635.06,14.51,14,MORTGAGE,credit_card,18.6,7,0,0
799,26271.26,4540.49,6.46,2,RENT,debt_consolidation,7.48,10,0,0
610,32702.37,4381.03,30.1,18,RENT,credit_card,6.84,7,0,1
757,59645.08,11875.03,21.14,4,RENT,home_improvement,8.75,9,0,0
545,58209.34,14352.91,33.6,3,MORTGAGE,debt_consolidation,17.08,12,0,0
653,32851.3,6361.59,4.38,8,RENT,debt_consolidation,13.41,11,0,0
693,20000.0,15604.35,17.25,12,RENT,credit_card,8.66,13,0,0
726,60476.27,16099.27,9.02,0,MORTGAGE,debt_consolidation,15.91,4,0,0
736,31292.89,9544.58,4.6,1,MORTGAGE,debt_consolidation,23.23,8,0,0
743,69184.44,55460.42,38.67,4,MORTGAGE,home_improvement,16.03,9,0,0
652,33588.71,18048.77,6.55,1,MORTGAGE,credit_card,15.35,13,1,0
643,29913.04,29435.08,8.75,0,MORTGAGE,other,12.1,8,0,0
748,52922.61,4820.59,18.34,2,RENT,home_improvement,5.25,5,0,0
664,159348.61,4791.56,14.64,0,RENT,credit_card,9.92,13,1,0
577,71290.26,18435.69,45.99,2,RENT,debt_consolidation,11.6,11,0,1
589,52475.92,48942.45,49.43,4,RENT,debt_consolidation,14.09,10,1,0
606,58654.86,6588.26,21.12,20,MORTGAGE,credit_card,23.44,9,0,0
719,20423.51,14770.15,10.06,8,MORTGAGE,credit_card,11.01,7,0,0
691,27968.38,5627.57,24.91,11,RENT,credit_card,11.26,11,0,0
735,20000.0,8078.52,24.78,3,RENT,credit_card,11.42,6,1,0
645,116417.36,15293.42,23.3,10,MORTGAGE,debt_consolidation,9.28,13,0,0
692,105207.83,9463.26,1.02,7,RENT,credit_card,13.65,9,0,0
730,59659.53,5356.86,6.42,6,MORTGAGE,debt_consolidation,19.95,13,0,1
655,52446.95,5273.54,7.05,0,MORTGAGE,credit_card,19.7,14,0,0
716,22566.12,3568.12,17.59,0,MORTGAGE,credit_card,5.08,10,0,0
627,43929.88,18650.13,29.04,11,RENT,home_improvement,20.37,11,0,0
650,120113.92,20298.59,43.89,4,MORTGAGE,home_improvement,12.86,9,0,0
649,52350.04,20227.28,11.17,0,MORTGAGE,home_improvement,5.39,10,0,0
584,36963.15,7069.73,38.56,5,MORTGAGE,major_purchase,24.82,8,0,1
718,20352.61,27015.5,11.31,4,RENT,debt_consolidation,22.48,10,0,0
642,97748.47,21911.02,1.63,0,MORTGAGE,major_purchase,12.15,8,1,0
680,47332.77,13428.12,32.49,1,MORTGAGE,debt_consolidation,18.64,4,0,0
718,20366.22,11970.73,10.73,1,OWN,home_improvement,17.76,15,0,0
715,30880.1,8481.3,45.98,1,RENT,debt_consolidation,24.71,8,0,0
733,25880.14,15283.26,46.67,3,RENT,debt_consolidation,8.63,12,0,1
672,45895.77,41442.97,5.25,3,MORTGAGE,other,9.26,9,0,1
646,54375.53,29628.73,9.74,2,RENT,debt_consolidation,18.4,16,0,0
673,38116.08,11166.27,10.52,0,RENT,credit_card,6.5,7,1,0
545,72295.94,19477.89,45.57,4,OWN,debt_consolidation,21.42,7,1,0
564,50990.83,6179.54,3.9,13,RENT,debt_consolidation,9.28,8,0,0
574,83379.37,22271.14,37.56,2,MORTGAGE,other,20.34,7,1,0
600,41003.1,7468.13,14.39,0,RENT,credit_card,8.07,10,0,0
711,224731.76,21659.06,29.12,0,MORTGAGE,credit_card,19.81,8,0,0
607,36966.07,100000.0,8.86,10,RENT,debt_consolidation,6.61,11,0,0
649,31205.04,8964.17,40.33,12,OWN,debt_consolidation,7.08,9,0,0
783,29344.19,100000.0,33.54,5,MORTGAGE,credit_card,5.97,12,1,0
651,44113.87,18834.49,1.06,10,MORTGAGE,debt_consolidation,18.19,17,2,0
739,20748.56,7905.09,11.86,10,RENT,debt_consolidation,8.31,13,0,0
605,56799.42,7655.51,23.32,0,RENT,credit_card,12.27,9,0,1
663,20000.0,69945.31,26.56,3,RENT,debt_consolidation,22.78,13,0,0
603,53147.98,18865.54,41.36,4,RENT,other,11.35,10,1,0
652,24943.64,8988.43,19.35,8,RENT,credit_card,8.29,12,0,0
747,40511.99,11586.29,46.34,12,MORTGAGE,debt_consolidation,18.39,14,0,0
541,66321.55,18061.59,9.69,2,RENT,credit_card,8.18,6,1,0
714,155130.01,13278.42,42.89,1,RENT,credit_card,19.58,15,2,0
699,28595.36,17019.74,45.21,1,MORTGAGE,debt_consolidation,13.9,7,0,0
632,45471.51,46236.63,31.33,4,MORTGAGE,major_purchase,23.69,6,0,0
564,34136.44,6065.79,48.38,6,RENT,credit_card,9.64,6,0,0
685,31731.49,20978.25,20.53,4,MORTGAGE,debt_consolidation,14.73,8,0,0
637,34286.72,12695.1,34.96,13,MORTGAGE,credit_card,22.03,13,1,0
698,74015.75,9420.73,0.5,7,MORTGAGE,home_improvement,17.98,11,0,0
681,38406.12,28297.31,13.73,1,RENT,debt_consolidation,9.1,9,0,0
808,150942.82,4803.03,28.32,14,MORTGAGE,major_purchase,6.41,9,0,0
660,60354.43,2549.1,43.8,12,MORTGAGE,debt_consolidation,16.22,9,0,1
598,29584.17,15633.53,47.65,5,MORTGAGE,debt_consolidation,16.38,10,1,0
694,40808.57,12128.03,28.97,0,MORTGAGE,other,9.29,18,0,1
697,32829.29,5182.31,42.79,3,RENT,debt_consolidation,20.82,14,0,1
788,73132.95,4034.4,39.96,1,MORTGAGE,debt_consolidation,9.73,10,0,0
746,21603.49,51608.59,38.68,0,OWN,debt_consolidation,24.44,6,0,0
708,25072.43,18473.83,5.57,0,OWN,home_improvement,19.23,10,0,1
797,36469.33,13544.72,23.93,0,RENT,debt_consolidation,17.11,9,1,0
584,68973.21,62110.57,24.31,1,MORTGAGE,home_improvement,18.1,9,0,0
628,90810.49,27321.9,39.37,1,MORTGAGE,home_improvement,5.13,8,0,1
605,97760.03,46096.57,29.31,18,MORTGAGE,home_improvement,12.22,9,0,0
648,63888.89,5849.04,40.99,2,MORTGAGE,other,22.34,9,0,1
569,47030.67,5697.74,47.82,1,RENT,major_purchase,23.43,7,1,0
730,72934.2,20577.48,27.73,2,MORTGAGE,debt_consolidation,8.83,11,0,0
662,27660.2,17856.97,39.59,5,RENT,other,22.97,13,0,1
562,20000.0,32040.74,28.03,7,RENT,debt_consolidation,12.46,12,0,1
598,60981.07,4266.07,31.29,1,MORTGAGE,major_purchase,18.92,9,0,0
705,29648.32,21862.28,23.8,0,MORTGAGE,credit_card,22.51,9,1,0
747,47445.96,26701.85,47.98,1,MORTGAGE,debt_consolidation,9.45,13,0,0
839,52042.37,25727.62,40.88,3,RENT,home_improvement,7.72,4,1,0
850,55495.64,10049.86,37.6,11,MORTGAGE,home_improvement,14.45,11,1,0
713,78346.44,19207.01,16.48,0,MORTGAGE,other,17.46,15,0,0
